Country,Capital City,Latitude,Longitude,Column1,Zoom,Column2,,,,
Monaco,Monaco,43.7333,7.4167,2.084,8,,,,,
Nauru,Nauru,-0.5308,166.9112,20,8,,,,,2022
Tuvalu,Funafuti,-8.5189,179.1991,30,8,,,,Aruba,180
Sint Maarten (Dutch part),Philipsburg,18.026,-63.0458,34,8,,,,Africa Eastern and Southern,14845090.23
Bermuda,Hamilton,32.2915,-64.778,54,8,,,,Afghanistan,652230
San Marino,San Marino,43.9333,12.45,60,8,,,,Africa Western and Central,9045773
British Virgin Islands,Road Town,18.4167,-64.6167,150,8,,,,Angola,1246700
Liechtenstein,Vaduz,47.1415,9.5215,160,8,,,,Albania,27400
Aruba,Oranjestad,12.524,-70.027,180,8,,,,Andorra,470
Marshall Islands,Majuro,7.0897,171.3803,180,8,,,,Arab World,13096083.71
American Samoa,Pago Pago,-14.2781,-170.7025,200,8,,,,United Arab Emirates,71020
Cayman Islands,George Town,19.2866,-81.3744,240,8,,,,Argentina,2736690
Maldives,Male,4.1748,73.5089,300,8,,,,Armenia,28470
Malta,Valletta,35.8997,14.5147,320,8,,,,American Samoa,200
Grenada,St.George's,12.0564,-61.7485,340,8,,,,Antigua and Barbuda,440
Barbados,Bridgetown,13.1,-59.6167,430,8,,,,Australia,7692020
Antigua and Barbuda,St. John's,17.1172,-61.8457,440,8,,,,Austria,82520
Northern Mariana Islands,Saipan,15.2123,145.7545,460,8,,,,Azerbaijan,82650
Palau,Koror,7.3426,134.4789,460,8,,,,Burundi,25680
Seychelles,Victoria,-4.6167,55.45,460,8,,,,Belgium,30494
Andorra,Andorra la Vella,42.5078,1.5211,470,8,,,,Benin,112760
Guam,Hagåtña,13.4757,144.7489,540,8,,,,Burkina Faso,273600
Isle of Man,Douglas,54.15,-4.4833,570,8,,,,Bangladesh,130170
Singapore,Singapore,1.2897,103.8501,718,8,,,,Bulgaria,108560
Tonga,Nuku'alofa,-21.1394,-175.2032,720,8,,,,Bahrain,790
Dominica,Roseau,15.3017,-61.3881,750,8,,,,"Bahamas, The",10010
Bahrain,Al-Manamah (Manama),26.2154,50.5832,790,7.5,,,,Bosnia and Herzegovina,51200
Kiribati,Tarawa,1.3272,172.9813,810,7.3,,,,Belarus,202990
Turks and Caicos Islands,Cockburn Town,21.4612,-71.1419,950,7,,,,Belize,22810
Sao Tome and Principe,São Tomé,0.3365,6.7273,960,7,,,,Bermuda,54
Comoros,Moroni,-11.7022,43.2551,1861,7,,,,Bolivia,1083300
Mauritius,Port Louis,-20.1619,57.4989,1997,7,,,,Brazil,8358140
Luxembourg,Luxembourg,49.6117,6.13,2574.46,7,,,,Barbados,430
Samoa,Apia,-13.8333,-171.7667,2780,7,,,,Brunei Darussalam,5270
French Polynesia,Papeete,-17.5333,-149.5667,3471,7,,,,Bhutan,38140
Cabo Verde,Praia,14.9215,-23.5087,4030,7,,,,Botswana,566730
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,5130,7,,,,Central African Republic,622980
Brunei Darussalam,Bandar Seri Begawan,4.9403,114.9481,5270,7,,,,Canada,8788700
Cyprus,Lefkosia (Nicosia),35.1595,33.3669,9240,7,,,,Central Europe and the Baltics,1104902.13
Gambia,Banjul,13.4531,-16.6794,10120,7,,,,Switzerland,39509.63
Lebanon,Bayrut (Beirut),33.9,35.4833,10230,7,,,,Channel Islands,
Jamaica,Kingston,17.997,-76.7936,10830,7,,,,Chile,743532
Qatar,Ad-Dawhah (Doha),25.2747,51.5245,11490,7,,,,China,9388210
Vanuatu,Port Vila,-17.7338,168.3219,12190,6,,,,Cote d'Ivoire,318000
Montenegro,Podgorica,42.4411,19.2636,13450,6,,,,Cameroon,472710
